epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.155,0.47442,0.49855,0.8299,0.87616,0.86912,0.90447,0.76019,0.48467,0.47227,0.81293,0.000300029,0.000300029,0.000300029
2,801.92,0.50298,0.51253,0.83527,0.93057,0.81813,0.91463,0.75145,0.48566,0.46611,0.81975,0.00054333,0.00054333,0.00054333
3,1168.57,0.51264,0.51245,0.83185,0.90486,0.85174,0.9193,0.76735,0.4705,0.46533,0.81228,0.000726636,0.000726636,0.000726636
4,1546.31,0.50273,0.49396,0.8312,0.91546,0.83866,0.91325,0.76748,0.46068,0.43943,0.81502,0.000639027,0.000639027,0.000639027
5,1939.59,0.49332,0.48192,0.82547,0.92446,0.83387,0.91746,0.78565,0.43117,0.42538,0.80816,0.000549036,0.000549036,0.000549036
6,2290.25,0.46318,0.45882,0.82469,0.89665,0.86893,0.9229,0.77622,0.43884,0.40899,0.80552,0.000459045,0.000459045,0.000459045
7,2639.64,0.45039,0.4485,0.82333,0.89845,0.86648,0.92353,0.78723,0.41494,0.40849,0.8084,0.000369054,0.000369054,0.000369054
8,2979.15,0.42699,0.43325,0.81926,0.91606,0.8635,0.92519,0.79643,0.39705,0.39021,0.80416,0.000279063,0.000279063,0.000279063
9,3327.62,0.41967,0.4181,0.81912,0.92202,0.87092,0.92756,0.80306,0.3885,0.38457,0.79995,0.000189072,0.000189072,0.000189072
10,3685.52,0.41002,0.41224,0.81729,0.88921,0.90359,0.93038,0.80704,0.37819,0.37101,0.80029,9.9081e-05,9.9081e-05,9.9081e-05
